code_fap_341,intitule_fap_341,code_fap_228,intitule_fap_228,code_fap_86,intitule_fap_86,code_fap_22,intitule_fap_22
J3X40a,Ambulanciers,J3X40,Conducteurs de véhicules légers,J3X,Conducteurs de véhicules,J,"Transports, logistique et tourisme"
J3X40b,"Conducteurs de taxi, VTC",J3X40,Conducteurs de véhicules légers,J3X,Conducteurs de véhicules,J,"Transports, logistique et tourisme"
J3X41,Conducteurs de transport en commun sur route,J3X41,Conducteurs de transport en commun sur route,J3X,Conducteurs de véhicules,J,"Transports, logistique et tourisme"
J3X42,Conducteurs et livreurs sur courte distance (hors distribution de documents),J3X42,Conducteurs et livreurs sur courte distance (hors distribution de documents),J3X,Conducteurs de véhicules,J,"Transports, logistique et tourisme"
J3X43,Conducteurs routiers,J3X43,Conducteurs routiers,J3X,Conducteurs de véhicules,J,"Transports, logistique et tourisme"
J3X44,Conducteurs sur rails et d'engins de traction,J3X44,Conducteurs sur rails et d'engins de traction,J3X,Conducteurs de véhicules,J,"Transports, logistique et tourisme"
J4X60,Agents et hôtesses d'accompagnement,J4X60,Agents et hôtesses d'accompagnement,J4X,Employés commerciaux des transports et du tourisme,J,"Transports, logistique et tourisme"
J4X62,Employés administratifs et commerciaux des transports,J4X62,Employés administratifs et commerciaux des transports,J4X,Employés commerciaux des transports et du tourisme,J,"Transports, logistique et tourisme"
J4X63,Employés du tourisme et agent de billetterie des transports,J4X63,Employés du tourisme et agent de billetterie des transports,J4X,Employés commerciaux des transports et du tourisme,J,"Transports, logistique et tourisme"
J5X40a,Agents d'exploitation des transports (hors ferroviaire),J5X40,Agents d'exploitation du transport,J5X,Agents d'exploitation des transports et maîtrise du tourisme,J,"Transports, logistique et tourisme"
J5X40b,Agents d'exploitation des transports ferroviaires,J5X40,Agents d'exploitation du transport,J5X,Agents d'exploitation des transports et maîtrise du tourisme,J,"Transports, logistique et tourisme"
J5X40c,"Responsable de circulation ferroviaire, chef de gare (non cadres)",J5X40,Agents d'exploitation du transport,J5X,Agents d'exploitation des transports et maîtrise du tourisme,J,"Transports, logistique et tourisme"
J5X60,Contrôleurs des transports,J5X60,Contrôleurs des transports,J5X,Agents d'exploitation des transports et maîtrise du tourisme,J,"Transports, logistique et tourisme"
J5X80,Techniciens d'exploitation et d'administration des transports,J5X80,Techniciens d'exploitation et d'administration des transports,J5X,Agents d'exploitation des transports et maîtrise du tourisme,J,"Transports, logistique et tourisme"
J5X81,Techniciens et agents de maîtrise du tourisme,J5X81,Techniciens et agents de maîtrise du tourisme,J5X,Agents d'exploitation des transports et maîtrise du tourisme,J,"Transports, logistique et tourisme"
J6X90a,Cadres des transports,J6X90,Cadres des transports et du tourisme,J6X,"Cadres des transports, du tourisme, de la logistique et navigants de l'aviation",J,"Transports, logistique et tourisme"
J6X90b,Cadres du tourisme,J6X90,Cadres des transports et du tourisme,J6X,"Cadres des transports, du tourisme, de la logistique et navigants de l'aviation",J,"Transports, logistique et tourisme"
J6X91,Personnels techniques navigants de l’aviation,J6X91,Personnels techniques navigants de l’aviation,J6X,"Cadres des transports, du tourisme, de la logistique et navigants de l'aviation",J,"Transports, logistique et tourisme"
J6X92,Cadres de la logistique,J6X92,Cadres de la logistique,J6X,"Cadres des transports, du tourisme, de la logistique et navigants de l'aviation",J,"Transports, logistique et tourisme"
K0X30,Artisans et ouvriers artisanaux,K0X30,Artisans et ouvriers artisanaux,K0X,Artisans et ouvriers artisanaux,K,Artisanat
K0X32,Artisans et ouvriers de blanchisserie,K0X32,Artisans et ouvriers de blanchisserie,K0X,Artisans et ouvriers artisanaux,K,Artisanat
L0X60a,Secrétaires,L0X60,Secrétaires bureautiques et assimilés,L0X,Secrétaires,L,Gestion et administration des entreprises et des établissements publics
L0X60b,Secrétaires assistants commerciaux,L0X60,Secrétaires bureautiques et assimilés,L0X,Secrétaires,L,Gestion et administration des entreprises et des établissements publics
L0X60c,Secrétaires comptables,L0X60,Secrétaires bureautiques et assimilés,L0X,Secrétaires,L,Gestion et administration des entreprises et des établissements publics
L0X60d,Secrétaires médicaux et assistants médicaux ou médico-sociaux,L0X60,Secrétaires bureautiques et assimilés,L0X,Secrétaires,L,Gestion et administration des entreprises et des établissements publics
L1X60,Employés de la comptabilité,L1X60,Employés de la comptabilité,L1X,Employés de la comptabilité,L,Gestion et administration des entreprises et des établissements publics
L2X60,Agents d'accueil et d'information,L2X60,Agents d'accueil et d'information,L2X,Employés administratifs d'entreprise et d'administration publique,L,Gestion et administration des entreprises et des établissements publics
L2X61,Agents administratifs,L2X61,Agents administratifs,L2X,Employés administratifs d'entreprise et d'administration publique,L,Gestion et administration des entreprises et des établissements publics
L3X80a,Assistants commerciaux techniciens,L3X80,Secrétaires de direction,L3X,Secrétaires de direction,L,Gestion et administration des entreprises et des établissements publics
L3X80b,Secrétaires et assistanat de direction,L3X80,Secrétaires de direction,L3X,Secrétaires de direction,L,Gestion et administration des entreprises et des établissements publics
L3X80c,Secrétaires de direction comptable,L3X80,Secrétaires de direction,L3X,Secrétaires de direction,L,Gestion et administration des entreprises et des établissements publics
L3X80d,Secrétaires de direction médical ou médico-social,L3X80,Secrétaires de direction,L3X,Secrétaires de direction,L,Gestion et administration des entreprises et des établissements publics
L4X80a,Techniciens assistanat en ressources humaines,L4X80,Techniciens des services administratifs,L4X,"Techniciens des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L4X80b,"Techniciens assistanat technique, administratif et gestion d'enquêtes",L4X80,Techniciens des services administratifs,L4X,"Techniciens des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L4X81,Techniciens et agents de maîtrise des services financiers ou comptables,L4X81,Techniciens et agents de maîtrise des services financiers ou comptables,L4X,"Techniciens des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L4X82,Techniciens et agents de maîtrise chargés d'études socio-économiques,L4X82,Techniciens et agents de maîtrise chargés d'études socio-économiques,L4X,"Techniciens des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L5X90,"Cadres administratifs, comptables et financiers (hors juristes)",L5X90,"Cadres administratifs, comptables et financiers (hors juristes)",L5X,"Cadres des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L5X91,Juristes et avocats,L5X91,Juristes et avocats,L5X,"Cadres des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L5X92,Cadres des ressources humaines et du recrutement,L5X92,Cadres des ressources humaines et du recrutement,L5X,"Cadres des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L5X93,Chargés d'études socio-économiques,L5X93,Chargés d'études socio-économiques,L5X,"Cadres des services administratifs, comptables et financiers",L,Gestion et administration des entreprises et des établissements publics
L6X00,Dirigeants de petites et moyennes entreprises de moins de 50 salariés,L6X00,Dirigeants de petites et moyennes entreprises de moins de 50 salariés,L6X,Dirigeants d'entreprises,L,Gestion et administration des entreprises et des établissements publics
L6X90,Cadres dirigeants des grandes entreprises de plus de 50 salariés,L6X90,Cadres dirigeants des grandes entreprises de plus de 50 salariés,L6X,Dirigeants d'entreprises,L,Gestion et administration des entreprises et des établissements publics
M1X80,Techniciens d'étude et de développement en informatique,M1X80,Techniciens d'étude et de développement en informatique,M1X,Techniciens de l'informatique,M,Informatique et télécommunications
M1X81a,"Techniciens de production, exploitation et administration des systèmes d'information",M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",M1X,Techniciens de l'informatique,M,Informatique et télécommunications
M1X81b,"Techniciens d’exploitation, installation et maintenance des infrastructures réseau télecoms",M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",M1X,Techniciens de l'informatique,M,Informatique et télécommunications
M1X81c,"Techniciens de maintenance, support et service aux utilisateurs en informatique",M1X81,"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique",M1X,Techniciens de l'informatique,M,Informatique et télécommunications
M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",M2X90,"Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom",M2X,Ingénieurs de l'informatique,M,Informatique et télécommunications
M2X91,Chefs de projet et directeurs de service informatique,M2X91,Chefs de projet et directeurs de service informatique,M2X,Ingénieurs de l'informatique,M,Informatique et télécommunications
M2X92a,"Responsables de production, d'exploitation et d'administration des systèmes d'information et télécom",M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",M2X,Ingénieurs de l'informatique,M,Informatique et télécommunications
M2X92b,"Responsables et cadres de maintenance, support et service aux utilisateurs en informatique et télécom",M2X92,"Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom",M2X,Ingénieurs de l'informatique,M,Informatique et télécommunications
M2X93,Experts et consultants en systèmes d'information,M2X93,Experts et consultants en systèmes d'information,M2X,Ingénieurs de l'informatique,M,Informatique et télécommunications
N0X70,"Techniciens d'étude, recherche et développement",N0X70,"Techniciens d'étude, recherche et développement",N0X,Techniciens d'études et de recherche,N,Études et recherche
N1X90,"Ingénieurs et cadres d'étude, recherche et développement (industrie)",N1X90,"Ingénieurs et cadres d'étude, recherche et développement (industrie)",N1X,Cadres d'études et de recherche,N,Études et recherche
N1X91,Chercheurs (sauf industrie et enseignement supérieur),N1X91,Chercheurs (sauf industrie et enseignement supérieur),N1X,Cadres d'études et de recherche,N,Études et recherche
P0X60,Agents des impôts et des douanes,P0X60,Agents des impôts et des douanes,P0X,Employés administratifs des administrations publiques (catégorie C et assimilés),P,"Administration publique, professions juridiques, armée et police"
P0X61,Autres cadres C des administrations publiques,P0X61,Autres cadres C des administrations publiques,P0X,Employés administratifs des administrations publiques (catégorie C et assimilés),P,"Administration publique, professions juridiques, armée et police"
P1X80,Contrôleurs des impôts et des douanes,P1X80,Contrôleurs des impôts et des douanes,P1X,Professions intermédiaires administratives des administrations publiques (catégorie B et assimilés),P,"Administration publique, professions juridiques, armée et police"
P1X81,Autres cadres B des administrations publiques,P1X81,Autres cadres B des administrations publiques,P1X,Professions intermédiaires administratives des administrations publiques (catégorie B et assimilés),P,"Administration publique, professions juridiques, armée et police"
P2X90a,"Cadres A des administrations publiques en conception, pilotage et mise en oeuvre des pouvoirs publics et en représentation de l'Etat",P2X90,Cadres A des administrations publiques (hors spécialités juridiques) et assimilés,P2X,Cadres des administrations publiques (catégorie A et assimilés),P,"Administration publique, professions juridiques, armée et police"
P2X90b,"Cadres A des administrations publiques en management de structure de santé, sociale ou pénitentiaire",P2X90,Cadres A des administrations publiques (hors spécialités juridiques) et assimilés,P2X,Cadres des administrations publiques (catégorie A et assimilés),P,"Administration publique, professions juridiques, armée et police"
P2X90e,"Cadres A des administrations publiques en inspection du travail, de la sécurité sociale et des Urssaf",P2X90,Cadres A des administrations publiques (hors spécialités juridiques) et assimilés,P2X,Cadres des administrations publiques (catégorie A et assimilés),P,"Administration publique, professions juridiques, armée et police"
P2X90g,"Cadres A des impôts, du Trésor Public et des douanes",P2X90,Cadres A des administrations publiques (hors spécialités juridiques) et assimilés,P2X,Cadres des administrations publiques (catégorie A et assimilés),P,"Administration publique, professions juridiques, armée et police"
P2X90h,Cadres A des administrations publiques chargées du patrimoine et de la culture ,P2X90,Cadres A des administrations publiques (hors spécialités juridiques) et assimilés,P2X,Cadres des administrations publiques (catégorie A et assimilés),P,"Administration publique, professions juridiques, armée et police"
P2X90i,Cadres A de l'administration publique territoriale,P2X90,Cadres A des administrations publiques (hors spécialités juridiques) et assimilés,P2X,Cadres des administrations publiques (catégorie A et assimilés),P,"Administration publique, professions juridiques, armée et police"
P3X90a,Professionnels du droit en Aide et médiation judiciaire,P3X90,Professionnels du droit,P3X,Professionnels du droit (hors juristes en entreprise),P,"Administration publique, professions juridiques, armée et police"
P3X90b,Professionnels du droit en Collaboration juridique,P3X90,Professionnels du droit,P3X,Professionnels du droit (hors juristes en entreprise),P,"Administration publique, professions juridiques, armée et police"
P3X91,Magistrats,P3X91,Magistrats,P3X,Professionnels du droit (hors juristes en entreprise),P,"Administration publique, professions juridiques, armée et police"
P4X60a,Personnel de la Défense,P4X60,Agents de sécurité et de l'ordre public,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
P4X60b,Sécurité civile et secours,P4X60,Agents de sécurité et de l'ordre public,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
P4X60c,Sécurité publique,P4X60,Agents de sécurité et de l'ordre public,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
P4X61,Agents de polices municipales,P4X61,Agents de polices municipales,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
P4X80a,Cadres de la sécurité civile et des secours,P4X80,Cadres de la police et de l'armée,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
P4X80b,Cadres de la défense,P4X80,Cadres de la police et de l'armée,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
P4X80c,Management de la sécurité publique,P4X80,Cadres de la police et de l'armée,P4X,"Armée, police, pompiers",P,"Administration publique, professions juridiques, armée et police"
QAX01,Experts de la finance,QAX01,Experts de la finance,QAX,"Experts de la finance, de la banque et de l'assurance",Q,Banque et assurances
QAX02,Experts de la banque,QAX02,Experts de la banque,QAX,"Experts de la finance, de la banque et de l'assurance",Q,Banque et assurances
QAX03,Experts de l'assurance,QAX03,Experts de l'assurance,QAX,"Experts de la finance, de la banque et de l'assurance",Q,Banque et assurances
QBX01,Gestionnaires de la banque et de l'assurance,QBX01,Gestionnaires de la banque et de l'assurance,QBX,Gestionnaires de la banque et de l'assurance,Q,Banque et assurances
QCX01,Employés et techniciens commerciaux de la banque,QCX01,Employés et techniciens commerciaux de la banque,QCX,Commerciaux de la banque,Q,Banque et assurances
QCX02,Cadres et indépendants commerciaux de la banque,QCX02,Cadres et indépendants commerciaux de la banque,QCX,Commerciaux de la banque,Q,Banque et assurances
QDX01,Employés et techniciens commerciaux des assurances,QDX01,Employés et techniciens commerciaux des assurances,QDX,Commerciaux des assurances,Q,Banque et assurances
QDX02,Cadres et indépendants commerciaux des assurances,QDX02,Cadres et indépendants commerciaux des assurances,QDX,Commerciaux des assurances,Q,Banque et assurances
QEX01,Managers en banque assurance,QEX01,Managers en banque assurance,QEX,Managers en banque assurance,Q,Banque et assurances
R0X60a,Employés de magasins animateurs de vente,R0X60,Employés de libre service,R0X,"Caissiers, employés de libre service",R,Commerce
R0X60b,Employés de mise en rayon libre-service,R0X60,Employés de libre service,R0X,"Caissiers, employés de libre service",R,Commerce
R0X61,Caissiers,R0X61,Caissiers,R0X,"Caissiers, employés de libre service",R,Commerce
R1X60a,Vendeurs en poissonnerie,R1X60,Vendeurs en produits alimentaires,R1X,Vendeurs,R,Commerce
R1X60b,Vendeurs en alimentation,R1X60,Vendeurs en produits alimentaires,R1X,Vendeurs,R,Commerce
R1X60c,Vendeurs en gros de produits frais,R1X60,Vendeurs en produits alimentaires,R1X,Vendeurs,R,Commerce
R1X61,"Vendeurs en ameublement, équipement du foyer, bricolage",R1X61,"Vendeurs en ameublement, équipement du foyer, bricolage",R1X,Vendeurs,R,Commerce
R1X62a,"Vendeurs en Achat vente d'objets d'art, anciens ou d'occasion",R1X62,"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels",R1X,Vendeurs,R,Commerce
R1X62b,Vendeurs de végétaux et vendeurs en animalerie,R1X62,"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels",R1X,Vendeurs,R,Commerce
R1X62d,"Vendeurs en articles de sport, de loisirs et de véhicules",R1X62,"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels",R1X,Vendeurs,R,Commerce
R1X62e,Vendeurs en habillement et accessoires de la personne,R1X62,"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels",R1X,Vendeurs,R,Commerce
R1X67,Télévendeurs et téléconseillers,R1X67,Télévendeurs et téléconseillers,R1X,Vendeurs,R,Commerce
R1X68,Employés des services commerciaux,R1X68,Employés des services commerciaux,R1X,Vendeurs,R,Commerce
R2X80a,Attachés commerciaux (hors médical),R2X80,Attachés commerciaux ,R2X,Attachés commerciaux et représentants,R,Commerce
R2X80b,Conseillers en information médicale,R2X80,Attachés commerciaux ,R2X,Attachés commerciaux et représentants,R,Commerce
R2X83,Représentants auprès des particuliers,R2X83,Représentants auprès des particuliers,R2X,Attachés commerciaux et représentants,R,Commerce
R3X80,Maîtrise des magasins,R3X80,Maîtrise des magasins,R3X,Maîtrise des magasins et intermédiaires du commerce,R,Commerce
R3X82,Professions intermédiaires commerciales des achats,R3X82,Professions intermédiaires commerciales des achats,R3X,Maîtrise des magasins et intermédiaires du commerce,R,Commerce
R3X83,Professions intermédiaires du marketing et des services commerciaux (hors achats),R3X83,Professions intermédiaires du marketing et des services commerciaux (hors achats),R3X,Maîtrise des magasins et intermédiaires du commerce,R,Commerce
R3X84,Employés et professions intermédiaires de l'immobilier,R3X84,Employés et professions intermédiaires de l'immobilier,R3X,Maîtrise des magasins et intermédiaires du commerce,R,Commerce
R4X90a,acheteurs,R4X90,"Cadres commerciaux, acheteurs et cadres de la mercatique",R4X,Cadres commerciaux et technico-commerciaux,R,Commerce
R4X90b,Cadres commerciaux et de la mercatique,R4X90,"Cadres commerciaux, acheteurs et cadres de la mercatique",R4X,Cadres commerciaux et technico-commerciaux,R,Commerce
R4X91,Technico-commerciaux,R4X91,Technico-commerciaux,R4X,Cadres commerciaux et technico-commerciaux,R,Commerce
R4X92,Cadres du management des magasins,R4X92,Cadres du management des magasins,R4X,Cadres commerciaux et technico-commerciaux,R,Commerce
R4X93a,Cadres agents immobiliers,R4X93,Cadres agents immobiliers et syndics,R4X,Cadres commerciaux et technico-commerciaux,R,Commerce
R4X93b,"Cadres chargés de gérance, de location et de projets immobiliers",R4X93,Cadres agents immobiliers et syndics,R4X,Cadres commerciaux et technico-commerciaux,R,Commerce
S0X40,Bouchers,S0X40,Bouchers,S0X,"Bouchers, charcutiers, boulangers",S,"Hôtellerie, restauration, alimentation"
S0X41,"Charcutiers, traiteurs",S0X41,"Charcutiers, traiteurs",S0X,"Bouchers, charcutiers, boulangers",S,"Hôtellerie, restauration, alimentation"
S0X42,"Boulangers, pâtissiers",S0X42,"Boulangers, pâtissiers",S0X,"Bouchers, charcutiers, boulangers",S,"Hôtellerie, restauration, alimentation"
S1X20,Aides de cuisine et employés polyvalents de la restauration,S1X20,Aides de cuisine et employés polyvalents de la restauration,S1X,Cuisiniers,S,"Hôtellerie, restauration, alimentation"
S1X40,Cuisiniers,S1X40,Cuisiniers,S1X,Cuisiniers,S,"Hôtellerie, restauration, alimentation"
S1X80,Chefs cuisiniers,S1X80,Chefs cuisiniers,S1X,Cuisiniers,S,"Hôtellerie, restauration, alimentation"
S2X60,Employés de l'hôtellerie,S2X60,Employés de l'hôtellerie,S2X,Employés et agents de maîtrise de l'hôtellerie et de la restauration,S,"Hôtellerie, restauration, alimentation"
S2X61,Serveurs de cafés restaurants,S2X61,Serveurs de cafés restaurants,S2X,Employés et agents de maîtrise de l'hôtellerie et de la restauration,S,"Hôtellerie, restauration, alimentation"
S2X80,Agents de maîtrise de la restauration,S2X80,Agents de maîtrise de la restauration,S2X,Employés et agents de maîtrise de l'hôtellerie et de la restauration,S,"Hôtellerie, restauration, alimentation"
S2X81,Agents de maîtrise de l'hôtellerie et de la gestion des structures de loisirs,S2X81,Agents de maîtrise de l'hôtellerie et de la gestion des structures de loisirs,S2X,Employés et agents de maîtrise de l'hôtellerie et de la restauration,S,"Hôtellerie, restauration, alimentation"
S3X90,Patrons et cadres de l’hôtellerie et de la restauration,S3X90,Patrons et cadres de l’hôtellerie et de la restauration,S3X,Patrons et cadres de l’hôtellerie et de la restauration,S,"Hôtellerie, restauration, alimentation"
T0X60a,Coiffeurs,T0X60,"Coiffeurs, esthéticiens",T0X,"Coiffeurs, esthéticiens",T,Services aux particuliers et aux collectivités
T0X60b,"Esthéticiens, manucure, hydrothérapie",T0X60,"Coiffeurs, esthéticiens",T0X,"Coiffeurs, esthéticiens",T,Services aux particuliers et aux collectivités
T1X60,Personnels de ménage chez des particuliers,T1X60,Personnels de ménage chez des particuliers,T1X,Personnels de ménage chez des particuliers,T,Services aux particuliers et aux collectivités
T2A60,Aides à domicile et auxiliaires de vie,T2A60,Aides à domicile et auxiliaires de vie,T2A,Aides à domicile et auxiliaires de vie,T,Services aux particuliers et aux collectivités
T2B60a,"Assistants maternels, assistants familiaux et gardes à domicile",T2B60,"Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile",T2B,"Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile",T,Services aux particuliers et aux collectivités
T2B60b,Autres intervenants  auprès d'enfants (hors social),T2B60,"Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile",T2B,"Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile",T,Services aux particuliers et aux collectivités
T2B60c,Aide en puériculture,T2B60,"Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile",T2B,"Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile",T,Services aux particuliers et aux collectivités
T3X60,Concierges,T3X60,Concierges,T3X,Agents de gardiennage et de sécurité,T,Services aux particuliers et aux collectivités
T3X61,Agents de sécurité et de surveillance,T3X61,Agents de sécurité et de surveillance,T3X,Agents de gardiennage et de sécurité,T,Services aux particuliers et aux collectivités
T4X60,Agents d'entretien de locaux,T4X60,Agents d'entretien de locaux,T4X,Agents d'entretien,T,Services aux particuliers et aux collectivités
T4X61,Agents de service hospitaliers,T4X61,Agents de service hospitaliers,T4X,Agents d'entretien,T,Services aux particuliers et aux collectivités
T4X62a,Agents d'entretien des espaces urbains,T4X62,Ouvriers de l'assainissement et du traitement des déchets,T4X,Agents d'entretien,T,Services aux particuliers et aux collectivités
T4X62b,Agents d'entretien industriel,T4X62,Ouvriers de l'assainissement et du traitement des déchets,T4X,Agents d'entretien,T,Services aux particuliers et aux collectivités
T6X61a,"Personnels d'attraction, de structures de loisirs et personnels techniques des jeux",T6X61,Employés des services divers,T6X,Employés des services divers,T,Services aux particuliers et aux collectivités
T6X61b,Chargés en développement personnel et en bien-être de la personne,T6X61,Employés des services divers,T6X,Employés des services divers,T,Services aux particuliers et aux collectivités
T6X61c,Personnels des services funéraires,T6X61,Employés des services divers,T6X,Employés des services divers,T,Services aux particuliers et aux collectivités
T6X61d,"Artisans et ouvriers animaliers (toiletteurs, maréchaux-ferrants et taxidermistes)",T6X61,Employés des services divers,T6X,Employés des services divers,T,Services aux particuliers et aux collectivités
U0X80,Assistants de la communication,U0X80,Assistants de la communication,U0X,Professionnels de la communication et de l'information,U,"Communication, information, art et spectacle"
U0X81,Interprètes,U0X81,Interprètes,U0X,Professionnels de la communication et de l'information,U,"Communication, information, art et spectacle"
U0X90,Cadres de la communication,U0X90,Cadres de la communication,U0X,Professionnels de la communication et de l'information,U,"Communication, information, art et spectacle"
U0X91,Cadres et techniciens de la documentation,U0X91,Cadres et techniciens de la documentation,U0X,Professionnels de la communication et de l'information,U,"Communication, information, art et spectacle"
U0X92a,Professionnels de l'édition,U0X92,Journalistes et cadres de l'édition,U0X,Professionnels de la communication et de l'information,U,"Communication, information, art et spectacle"
U0X92b,Journalistes et responsable de l'information média,U0X92,Journalistes et cadres de l'édition,U0X,Professionnels de la communication et de l'information,U,"Communication, information, art et spectacle"
U1X80a,Producteurs de spectacles et promoteurs d'artistes,U1X80,Professionnels des spectacles,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X80b,Techniciens de la réalisation cinématographique et audiovisuelle,U1X80,Professionnels des spectacles,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X80c,Techniciens de la préparation de spectacles,U1X80,Professionnels des spectacles,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X80d,Techniciens du décor et de la régie,U1X80,Professionnels des spectacles,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X81,Photographes,U1X81,Photographes,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X82a,Concepteur-décorateur d’espaces,U1X82,"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle",U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X82b,Concepteur-designer de produits,U1X82,"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle",U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X82c,Concepteur et réalisateur multimédia,U1X82,"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle",U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X82d,Concepteurs et réalisateurs de films d'animation,U1X82,"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle",U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X91a,Artistes interprètes et metteurs en scène,U1X91,"Artistes (musique, danse, spectacles)",U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X91b,Enseignants artistiques,U1X91,"Artistes (musique, danse, spectacles)",U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X92,Écrivains,U1X92,Écrivains,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
U1X93,Artistes plasticiens,U1X93,Artistes plasticiens,U1X,Professionnels des arts et des spectacles,U,"Communication, information, art et spectacle"
V0X60a,Aide aux soins des animaux,V0X60,Aides-soignants,V0X,Aides-soignants,V,"Santé, action sociale, culturelle et sportive"
V0X60b,Assistants médico-techniques,V0X60,Aides-soignants,V0X,Aides-soignants,V,"Santé, action sociale, culturelle et sportive"
V0X60c,Aides-soignants,V0X60,Aides-soignants,V0X,Aides-soignants,V,"Santé, action sociale, culturelle et sportive"
V1X80,Infirmiers et sages-femmes,V1X80,Infirmiers et sages-femmes,V1X,"Infirmiers, sages-femmes",V,"Santé, action sociale, culturelle et sportive"
V1X80a,Infirmiers généralistes et de prévention,V1X80,Infirmiers et sages-femmes,V1X,"Infirmiers, sages-femmes",V,"Santé, action sociale, culturelle et sportive"
V1X80b,"Infirmiers spécialisés, en anesthésie, en bloc opératoire",V1X80,Infirmiers et sages-femmes,V1X,"Infirmiers, sages-femmes",V,"Santé, action sociale, culturelle et sportive"
V1X80c,Infirmiers spécialisés en puériculture,V1X80,Infirmiers et sages-femmes,V1X,"Infirmiers, sages-femmes",V,"Santé, action sociale, culturelle et sportive"
V1X80d,Sages-femmes,V1X80,Infirmiers et sages-femmes,V1X,"Infirmiers, sages-femmes",V,"Santé, action sociale, culturelle et sportive"
V2X90,Médecins,V2X90,Médecins,V2X,"Médecins, dentistes, vétérinaires et pharmaciens",V,"Santé, action sociale, culturelle et sportive"
V2X91,Dentistes,V2X91,Dentistes,V2X,"Médecins, dentistes, vétérinaires et pharmaciens",V,"Santé, action sociale, culturelle et sportive"
V2X92,Vétérinaires,V2X92,Vétérinaires,V2X,"Médecins, dentistes, vétérinaires et pharmaciens",V,"Santé, action sociale, culturelle et sportive"
V2X93a,Pharmaciens,V2X93,Pharmaciens,V2X,"Médecins, dentistes, vétérinaires et pharmaciens",V,"Santé, action sociale, culturelle et sportive"
V2X93b,Biologistes médicaux,V2X93,Pharmaciens,V2X,"Médecins, dentistes, vétérinaires et pharmaciens",V,"Santé, action sociale, culturelle et sportive"
V3X70a,Techniciens de laboratoire médical,V3X70,Techniciens médicaux et préparateurs,V3X,Professions para-médicales,V,"Santé, action sociale, culturelle et sportive"
